"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","walk"
"26",375.3905,947.77405,0.10457268,364.33844,935.4112,0.11601245,368.06418,936.6008,0.08910024,376.18015,945.42804,0.087309286,1.5133182,191.33525,161.49478,6.2935095,360.63687,90.15922,1.5133182,191.33525,95.42932,190.85864,89.64194,448.2097,75.20801,451.24802,66.77855,467.44983,62.655712,939.8357,0.39699465,0.09924866,2,4,4,1
"27",361.15967,932.2229,0.11498773,363.65793,935.4112,0.117455594,366.70544,936.15515,0.10019223,362.21082,944.8615,0.090670496,161.0861,5.2003016,10.92741,106.837944,284.05176,71.01294,5.2003016,161.0861,80.586075,161.17215,101.63253,508.16266,86.5371,519.22266,74.60871,522.261,53.832745,807.49115,0.42330605,0.10582651,1,4,4,1
"28",360.8976,931.95496,0.09757024,351.48834,932.1041,0.10794872,365.31564,935.8496,0.0803187,360.9748,944.8615,0.07355931,2.8640444,96.36962,10.874146,9.445384,119.55319,29.888298,2.8640444,96.36962,50.45062,100.90124,79.123764,395.61884,89.675156,538.05096,78.44442,549.1109,52.994114,794.91174,0.35939696,0.08984924,3,4,4,1
"29",360.5907,931.781,0.11107379,350.92438,931.3007,0.121176586,364.9831,935.68414,0.08722699,360.8511,944.8615,0.09666195,2.695879,7.5010633,2.838463,0.9451914,13.980597,3.4951491,0.9451914,7.5010633,16.691723,33.383446,59.051003,295.25504,66.519,399.11398,77.36373,541.5461,48.69302,730.3953,0.41613933,0.10403483,2,4,4,1
"30",360.8976,931.545,0.11135728,350.3808,932.1041,0.1291265,364.28775,935.56165,0.092086665,360.78473,944.7072,0.09724279,2.95869,7.4126554,5.395466,1.2835705,17.050383,4.2625957,1.2835705,7.4126554,3.8788724,7.757745,39.76364,198.8182,49.9196,299.5176,57.625225,403.3766,48.68243,730.2365,0.42981327,0.10745332,2,4,4,1
"31",360.8976,931.545,0.116202466,350.26993,932.71844,0.14345029,364.26328,935.56165,0.10010243,360.57483,944.7072,0.1071431,0,4.770315,0.18703268,1.6040035,6.5613513,1.6403378,0,4.770315,2.9514668,5.9029336,22.059864,110.29932,33.409756,200.45854,43.022564,301.15796,46.247814,693.7172,0.4668983,0.11672457,0,4,4,1
"32",360.4719,931.781,0.13211589,349.93555,932.1041,0.1646255,364.13617,935.68414,0.1042424,360.3739,944.527,0.118003786,3.7197728,5.344851,1.3489702,2.0626688,12.476263,3.1190658,1.3489702,5.344851,2.3797019,4.7594037,8.48109,42.405445,18.903065,113.41839,29.082516,203.5776,42.40654,636.09814,0.51898754,0.12974688,0,4,4,1
"33",344.79236,931.3447,0.10714942,346.838,931.0929,0.12580146,353.09476,935.68414,0.09369436,347.10748,944.7072,0.11362956,119.86553,24.900051,84.37576,101.38807,330.52942,82.632355,24.900051,119.86553,42.87571,85.75142,19.029902,95.149506,20.839634,125.0378,28.007248,196.05074,46.666893,700.0034,0.4402748,0.1100687,1,4,4,1
"34",344.79236,931.31793,0.11912197,345.1838,929.7126,0.14334226,352.73776,935.682,0.10837126,345.74304,943.3535,0.117350586,0.20475648,16.463772,2.7281141,14.687681,34.08432,8.52108,0.20475648,16.463772,45.576717,91.153435,20.035088,100.17543,17.27843,103.670586,19.07984,133.55888,44.801445,672.02167,0.48818606,0.122046515,0,4,4,1
"35",343.68332,931.31305,0.15320957,343.99277,929.7126,0.1635001,349.97964,935.682,0.12711672,345.08713,941.3223,0.14409292,8.475088,9.101636,21.076859,16.311077,54.96466,13.741165,8.475088,21.076859,11.131123,22.262245,21.930801,109.65401,18.9861,113.916595,16.773108,117.41175,44.6374,669.56104,0.5879193,0.14697982,0,4,4,1
