scorer,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50
bodyparts,Head,Head,Head,Centre,Centre,Centre,rightLeg,rightLeg,rightLeg,leftLeg,leftLeg,leftLeg
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
19,0.7741250991821289,948.6039428710938,0.03368346393108368,-1.3212885856628418,1289.5286865234375,0.03333356976509094,4.347539901733398,1068.797119140625,0.04572896286845207,3.3189830780029297,1035.7625732421875,0.047610580921173096
20,0.774111270904541,948.6039428710938,0.0336831696331501,0.825343132019043,1037.823486328125,0.03331441432237625,4.349555492401123,1068.7984619140625,0.045633602887392044,3.3208415508270264,1035.76318359375,0.04762732982635498
21,0.7741107940673828,948.6039428710938,0.0336831770837307,0.825343132019043,1037.823486328125,0.03331441432237625,4.349555969238281,1068.7984619140625,0.04563358053565025,3.3208415508270264,1035.76318359375,0.04762732982635498
22,1.3006186485290527,965.0051879882812,0.03359472006559372,-1.2595815658569336,1289.5164794921875,0.033491868525743484,4.524538516998291,1068.6328125,0.04491445794701576,3.2460620403289795,1035.9300537109375,0.0467364527285099
23,0.724376916885376,948.5982055664062,0.03291482478380203,-1.2597222328186035,1289.5162353515625,0.03348449245095253,4.554895401000977,1068.6234130859375,0.04454028978943825,3.189603805541992,1036.0592041015625,0.0459308922290802
24,0.6115844249725342,948.8228149414062,0.03324970602989197,-1.2597222328186035,1289.5162353515625,0.03348449245095253,4.554247856140137,1068.623046875,0.04454352334141731,3.1916325092315674,1036.0606689453125,0.04590984433889389
25,0.5987577438354492,948.8310546875,0.0332631841301918,-1.2270822525024414,1289.5325927734375,0.03374897688627243,4.554261684417725,1068.623046875,0.044542718678712845,3.191412925720215,1036.0604248046875,0.045901644974946976
26,0.5987577438354492,948.8310546875,0.0332631841301918,-1.2270822525024414,1289.5325927734375,0.03374897688627243,4.554261684417725,1068.623046875,0.044542718678712845,3.191412925720215,1036.0604248046875,0.045901644974946976
27,1.1358263492584229,965.0607299804688,0.03269355371594429,-1.2270822525024414,1289.5325927734375,0.03374897688627243,4.552372932434082,1068.6234130859375,0.04457326605916023,3.195478916168213,1036.0577392578125,0.04589524865150452
28,0.9084157943725586,964.9472045898438,0.032775022089481354,-1.2250852584838867,1289.5330810546875,0.03377163037657738,4.550821304321289,1068.626708984375,0.04457642883062363,3.1925673484802246,1036.0670166015625,0.046062011271715164
29,-2.0502943992614746,1286.3134765625,0.035304177552461624,-1.298609733581543,1289.3695068359375,0.035944513976573944,4.550857067108154,1068.626708984375,0.0445752814412117,3.1923203468322754,1036.06689453125,0.04605758190155029
30,1.1459660530090332,965.1016845703125,0.03496880084276199,-1.149378776550293,1289.4820556640625,0.03556051105260849,4.61936616897583,1068.602783203125,0.044891051948070526,3.258563756942749,1020.0693359375,0.04699954763054848
31,1.1459660530090332,965.1016845703125,0.03496880084276199,-1.149378776550293,1289.4820556640625,0.03556051105260849,4.61936616897583,1068.602783203125,0.044891051948070526,3.258563756942749,1020.0693359375,0.04699954763054848
32,1.1474573612213135,965.1019287109375,0.0349910743534565,-1.1658101081848145,1289.5517578125,0.03568477928638458,4.57772159576416,1068.70703125,0.04446318745613098,3.2375471591949463,1020.0574340820312,0.04679557681083679
33,1.1474566459655762,965.1019287109375,0.0349910743534565,-1.1658101081848145,1289.5517578125,0.03568477928638458,4.57772159576416,1068.70703125,0.04446318745613098,3.2375471591949463,1020.0574340820312,0.04679557681083679
34,1.1474568843841553,965.1019287109375,0.0349910743534565,-1.1658101081848145,1289.5517578125,0.03568477928638458,4.57772159576416,1068.70703125,0.04446318745613098,3.2375471591949463,1020.0574340820312,0.04679557681083679
35,1.213545322418213,965.0281982421875,0.034420114010572433,-1.1658101081848145,1289.5517578125,0.03568477928638458,4.580503463745117,1068.7081298828125,0.04438595846295357,3.2387969493865967,1020.0619506835938,0.047015901654958725
36,1.2268385887145996,965.0192260742188,0.03418928384780884,-1.142796516418457,1289.5174560546875,0.03598552197217941,4.590179443359375,1068.7152099609375,0.04429049789905548,3.1117329597473145,1019.978515625,0.04603079333901405
37,1.2268385887145996,965.0192260742188,0.034189291298389435,-1.142796516418457,1289.5174560546875,0.03598552197217941,4.590179920196533,1068.7152099609375,0.04429049789905548,3.1117331981658936,1019.978515625,0.04603080078959465
38,1.2309722900390625,965.038330078125,0.03452391177415848,-1.2539629936218262,1289.4927978515625,0.03485298156738281,4.793170928955078,1036.4927978515625,0.04356589540839195,3.038395404815674,1036.126953125,0.04642089083790779
39,1.2310001850128174,965.0381469726562,0.034523334354162216,-1.256493091583252,1289.492431640625,0.03482598811388016,4.791341781616211,1036.492431640625,0.043571893125772476,3.0375118255615234,1036.1287841796875,0.0464283712208271
40,1.19523024559021,965.0634155273438,0.03443850576877594,-1.256493091583252,1289.492431640625,0.03482598811388016,4.793437957763672,1036.4906005859375,0.043547142297029495,3.034878969192505,1036.130126953125,0.04640435054898262
41,1.1952297687530518,965.0634155273438,0.034438490867614746,-1.256906509399414,1289.492431640625,0.034818217158317566,4.793461799621582,1036.4906005859375,0.04354667663574219,3.034893035888672,1036.1300048828125,0.046403687447309494
42,1.1952285766601562,965.0634155273438,0.03443822264671326,-1.2607722282409668,1289.48974609375,0.03477907553315163,4.793458938598633,1036.4906005859375,0.04354720562696457,3.03493332862854,1036.1300048828125,0.04640447720885277
43,1.1944751739501953,965.0623779296875,0.034439947456121445,-1.2607731819152832,1289.48974609375,0.03477907553315163,4.7934393882751465,1036.4906005859375,0.04354213923215866,3.0344128608703613,1036.129638671875,0.046396177262067795
44,1.1878917217254639,965.0498657226562,0.03395966440439224,-1.2600364685058594,1289.4892578125,0.034789953380823135,4.7935709953308105,1036.490234375,0.04349925369024277,3.030709981918335,1036.126953125,0.04633132740855217
45,-0.8712038993835449,933.1771240234375,0.034496523439884186,-1.2600369453430176,1289.4892578125,0.034789953380823135,4.922452449798584,1068.4044189453125,0.04575980082154274,3.302074909210205,1020.115966796875,0.046726103872060776
46,-0.8717923164367676,933.1763916015625,0.03448544070124626,-1.2866663932800293,1289.4869384765625,0.03404073044657707,4.94868278503418,1068.358642578125,0.04636113718152046,3.3545007705688477,1020.0508422851562,0.04784870147705078
47,-0.9129433631896973,933.2077026367188,0.03468050807714462,-1.2845654487609863,1289.487060546875,0.03406260535120964,4.941804885864258,1068.3631591796875,0.04620452970266342,3.365196704864502,1020.0215454101562,0.04830662161111832
48,-0.912930965423584,933.2081298828125,0.03468148037791252,-1.2845654487609863,1289.487060546875,0.03406260535120964,4.941812992095947,1068.363037109375,0.04620812460780144,3.36525821685791,1020.0217895507812,0.04830972105264664
49,-0.912938117980957,933.2080688476562,0.03468083590269089,-1.2857747077941895,1289.4827880859375,0.03425047546625137,4.942020893096924,1068.3631591796875,0.046201251447200775,3.364967107772827,1020.0215454101562,0.048302218317985535
50,-0.9132037162780762,933.2059936523438,0.0346711091697216,-1.2857751846313477,1289.4827880859375,0.03425049036741257,4.941717147827148,1068.363037109375,0.046195127069950104,3.3650498390197754,1020.0196533203125,0.04826763644814491
