"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_walk","walk"
"10",312.4188,900.6324,0.104674645,304.85648,896.44684,0.10461287,319.44037,903.3934,0.10321718,313.98148,913.5611,0.08500847,2.4307263,2.6789935,2.680382,25.670845,33.460945,8.365236,2.4307263,25.670845,25.640484,51.280968,38.71527,193.57635,36.35903,218.15419,31.481745,220.37221,760.3963,8364.359,0.39751318,0.099378295,1,4,4,1,1
"11",312.4188,900.1069,0.11205061,302.52805,884.578,0.12145394,319.101,903.3934,0.09422149,313.72906,913.5611,0.09453396,4.3050113,99.08311,2.7800071,2.0677552,108.23588,27.05897,2.0677552,99.08311,17.712103,35.424206,35.86311,179.31555,36.772552,220.63531,35.03045,245.21315,699.28485,8391.418,0.42226,0.105565,2,4,4,1,1
"12",312.70102,898.6602,0.12036654,302.52805,884.578,0.16382912,318.22336,902.3778,0.10776827,313.72906,913.5611,0.09866824,12.074448,0,10.995781,0,23.070229,5.767557,0,12.074448,16.413263,32.826527,26.561481,132.8074,30.847185,185.08311,32.34327,226.40288,645.9374,8397.186,0.49063218,0.122658044,1,4,4,1,1
"13",312.7516,898.6602,0.11655928,301.99774,884.53503,0.16690592,315.90445,899.4524,0.10424699,313.33026,896.6862,0.09111744,0.41425106,4.3584986,30.580927,138.27797,173.63165,43.407913,0.41425106,138.27797,24.587734,49.17547,25.503082,127.51541,29.36922,176.21532,32.641575,228.49103,602.89954,8440.594,0.47882962,0.119707406,1,4,4,1,1
"14",312.7516,886.516,0.14448231,301.99774,884.44086,0.16554812,315.77753,886.1321,0.11867164,313.26413,896.05444,0.12065788,99.485756,0.77150196,109.12524,5.20379,214.58629,53.646572,0.77150196,109.12524,48.527245,97.05449,27.64925,138.24625,30.193665,181.16199,32.837414,229.8619,566.28265,8494.24,0.5493599,0.13733998,0,4,4,0.9995,1
"15",312.70102,886.4583,0.10983317,299.21225,884.41016,0.12647943,315.649,886.8396,0.09227163,312.43146,896.05444,0.09942945,0.6283799,22.820196,5.8908916,6.8212676,36.160736,9.040184,0.6283799,22.820196,31.343378,62.686756,27.784239,138.9212,24.547739,147.28644,27.171738,190.20216,29.375494,440.63242,0.42801368,0.10700342,2,4,4,1,1
"16",296.80023,884.75433,0.12590833,297.75842,880.7076,0.13057661,301.21753,886.8396,0.09403267,297.5001,896.05444,0.09084976,131.0054,32.586002,118.2228,122.31806,404.13226,101.033066,32.586002,131.0054,55.036625,110.07325,42.57906,212.8953,39.99238,239.95425,35.474213,248.3195,36.020714,540.3107,0.44136736,0.11034184,2,4,4,1,1
"17",296.6343,884.6139,0.18054973,296.98236,880.239,0.1771896,300.3044,885.63696,0.14783822,297.49976,895.8229,0.13641362,1.7807939,7.4264507,12.369998,1.8970069,23.47425,5.8685627,1.7807939,12.369998,53.450813,106.90163,42.59926,212.99629,36.460644,218.76385,35.117546,245.82283,36.311115,544.66675,0.6419912,0.1604978,0,4,4,1,1
"18",296.625,884.0405,0.12507837,296.98236,880.239,0.13431387,298.82617,885.63696,0.114717074,297.09946,895.8229,0.1074111,4.697631,0,12.109781,3.2792585,20.08667,5.0216675,0,12.109781,5.445115,10.89023,34.922012,174.61005,36.336327,218.01796,31.96936,223.78552,31.414446,471.2167,0.4815204,0.1203801,0,4,4,1,1
"19",280.8707,884.0405,0.104286864,296.98236,880.621,0.08272559,298.82617,886.2366,0.092971906,297.09946,895.8229,0.082577854,129.05959,3.129008,4.9120126,0,137.10062,34.275154,0,129.05959,19.64841,39.29682,31.047728,155.23863,34.8142,208.88521,36.041874,252.29312,33.55159,503.27383,0.3625622,0.09064055,3,4,4,1,1
