"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_walk","walk"
"12",-4.4932747,1304.4144,0.016725535,1450.2832,1086.5986,0.016297242,1450.1963,1081.3365,0.010916431,1450.0918,1081.9481,0.016715704,0.06991923,8.307237,9.776635,8.485558,26.639349,6.6598372,0.06991923,9.776635,5.9806724,11.961345,1512.0977,7560.4883,2064.433,12386.598,1787.8209,12514.746,1914.6178,24890.031,0.06065491,0.015163727,4,4,4,0.9775,1
"13",-4.5080376,1304.4292,0.016675763,1449.471,1087.4382,0.015022212,1450.0729,1081.6072,0.011014983,1449.534,1082.1776,0.015306305,0.138833,7.766243,1.9774053,4.009496,13.891977,3.4729943,0.138833,7.766243,5.066416,10.132832,1490.0065,7450.0327,1260.6602,7563.961,1770.0101,12390.071,1778.1074,24893.504,0.05801926,0.014504815,4,4,4,0.9775,1
"14",-4.545313,1304.4438,0.016571267,1449.3849,1087.5186,0.015395453,1450.5782,1081.3605,0.0110756075,1449.376,1082.5447,0.015619151,0.26625642,0.7826064,3.7386818,2.6569486,7.4444933,1.8611233,0.26625642,3.7386818,2.667059,5.334118,493.91193,2469.5596,1241.9823,7451.8936,1080.8318,7565.8223,1659.691,24895.365,0.05866148,0.01466537,4,4,4,0.987,1
"15",-4.545313,1304.4438,0.016571267,5.9506893,1295.0419,0.011854516,-4.3656406,1297.6532,0.008480217,5.2715974,907.4936,0.015153376,0,9694.693,9778.84,9670.758,29144.291,7286.0728,0,9778.84,3643.967,7287.934,1460.6736,7303.368,1625.9387,9755.633,2105.4238,14737.967,1352.8142,20292.213,0.052059375,0.013014844,4,4,4,0.7715,1
"16",-4.508812,1304.4374,0.016772982,5.938473,1295.0055,0.011878945,1449.7616,1081.1793,0.008771785,5.303283,907.5343,0.01501018,0.24644245,0.25510818,9773.647,0.34296042,9774.492,2443.623,0.24644245,9773.647,4864.8477,9729.695,1948.3379,9741.689,1624.4985,9746.991,1742.7507,12199.256,1509.1613,22637.418,0.052433893,0.013108473,4,4,4,0.8245,1
"17",-4.528103,1304.4487,0.016715964,5.94882,1295.015,0.011879992,-4.3363075,1297.6693,0.0085207205,5.3022337,907.5314,0.015027094,0.14880651,0.09347946,9773.471,0.020688754,9773.733,2443.4333,0.020688754,9773.471,2443.5283,4887.0566,2435.6926,12178.463,2030.8539,12185.123,1741.4893,12190.425,1663.2157,24948.234,0.05214377,0.013035943,4,4,4,0.822,1
"18",-4.527027,1304.451,0.01673527,5.9492054,1295.0161,0.011895166,1453.725,1073.902,0.009233179,5.301709,907.53,0.015019593,0.016996855,0.007739881,9806.755,0.009583722,9806.789,2451.6973,0.007739881,9806.755,2447.5654,4895.131,2925.3374,14626.6875,2438.36,14630.16,2090.9744,14636.82,1817.4819,27262.229,0.052883204,0.013220801,4,4,4,0.8255,1
"19",-4.5270424,1304.451,0.016735185,1450.4768,1069.7645,0.01876231,1453.5708,1073.6342,0.012914157,1450.6215,1069.2034,0.015313335,0.00010144123,9719.349,2.0544379,9668.488,19389.89,4847.4727,0.00010144123,9719.349,3649.585,7299.17,3894.4597,19472.299,3245.6934,19474.16,2782.519,19477.633,2137.1172,32056.756,0.06372499,0.015931247,4,4,4,0.8205,1
"20",-4.5052853,1304.4387,0.016846495,1450.7662,1070.8986,0.022961767,1450.1123,1065.1622,0.01411849,1450.9437,1069.4702,0.018878283,0.16625173,7.7807784,60.834106,2.7815707,71.562706,17.890676,0.16625173,60.834106,2432.6816,4865.3633,2440.8235,12204.117,3248.365,19490.19,2784.5786,19492.05,2134.018,32010.27,0.07280503,0.018201258,4,4,4,0.945,1
"21",1450.8446,1068.7908,0.024413917,1450.4043,1069.4713,0.03458753,1456.2064,1058.726,0.023645038,1450.4406,1068.9828,0.028691953,9801.252,9.788749,58.925877,4.6572857,9874.624,2468.656,4.6572857,9801.252,1243.2733,2486.5466,2445.83,12229.15,2445.4622,14672.773,3136.978,21958.846,2290.0518,34350.777,0.11133844,0.02783461,4,4,4,0.8165,1
