"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"53",229.31746,788.6741,0.10247394,234.56015,792.86383,0.13453814,240.75185,791.08685,0.097779825,234.9125,802.5101,0.1099187,3.0758739,1.8915049,2.8790073,0,7.846386,1.9615965,0,3.0758739,6.455138206481934,12.910276412963867,37.28083114624023,186.40415573120117,31.749861001968384,190.4991660118103,31.899327618735178,223.29529333114624,29.509982840220133,442.649742603302,0.4447106,0.11117765,1,4,4
"54",229.31746,788.32495,0.09121745,234.38165,792.86383,0.12135555,240.46002,790.00995,0.09236064,234.9125,802.42,0.09129472,2.8600073,1.4622537,9.140196,0.7380019,14.200459,3.5501146,0.7380019,9.140196,2.7558555603027344,5.511711120605469,21.125874519348145,105.62937259674072,31.659045060475666,189.954270362854,27.72132580620902,194.04928064346313,29.610248406728108,444.15372610092163,0.39622837,0.09905709,3,4,4
"55",230.19238,787.9068,0.080082126,234.38165,784.11725,0.11181003,239.86665,789.3036,0.076395795,234.9125,801.47894,0.08012557,7.943906,71.65218,7.5572467,7.7090197,94.86236,23.71559,7.5572467,71.65218,13.63285207748413,27.26570415496826,20.136558723449706,100.68279361724854,21.557493686676025,129.34496212005615,30.524265698024205,213.66985988616943,30.982860724131267,464.742910861969,0.34841353,0.08710338,3,4,4
"56",230.19238,787.9068,0.084609255,234.38165,783.56836,0.11118356,239.8499,775.8005,0.07764221,234.70018,787.0924,0.085776426,0,4.4965115,110.61787,117.86764,232.98203,58.245506,0,117.86764,40.98054790496826,81.96109580993652,19.684297370910645,98.42148685455322,26.48804998397827,158.92829990386963,26.798638343811035,187.59046840667725,34.42454229990641,516.3681344985962,0.35921144,0.08980286,3,4,4
"57",230.19238,777.5967,0.0800604,234.45033,778.2112,0.11470533,239.35744,774.7121,0.08869243,234.57407,786.9406,0.09487673,84.46072,43.889717,9.786252,1.6166795,139.75337,34.938343,1.6166795,84.46072,46.5919246673584,93.1838493347168,24.48222999572754,122.4111499786377,22.226638317108154,133.35982990264893,27.69523470742362,193.86664295196533,32.641956901550294,489.6293535232544,0.3783349,0.09458373,3,4,4
"58",231.5781,777.5967,0.07981161,234.45033,778.2112,0.12611029,239.35744,774.7121,0.074461,234.57407,786.55676,0.1033621,11.351779,0,0,3.1445081,14.496287,3.6240718,0,11.351779,19.28120744228363,38.56241488456726,24.814725065231322,124.07362532615662,21.005870302518208,126.03522181510925,19.569128819874354,136.98390173912048,31.817824792861938,477.2673718929291,0.38374496,0.09593624,2,4,4
"59",232.26309,772.2405,0.081854686,234.45033,778.2112,0.11055672,239.17949,773.80914,0.07109302,234.30315,786.55676,0.101201035,44.23548,0,7.539293,2.2193806,53.994152,13.498538,0,44.23548,8.561304926872253,17.122609853744507,26.804409742355347,134.02204871177673,22.928693890571594,137.57216334342957,19.933394261768886,139.5337598323822,32.231515963872276,483.4727394580841,0.36470547,0.09117637,2,4,4
"60",232.26309,759.84753,0.09394209,234.20908,778.2112,0.13347588,238.36696,766.50507,0.08977956,234.20406,786.3123,0.11404962,101.52326,1.9763801,60.204247,2.1607797,165.86467,41.466167,1.9763801,101.52326,27.48235273361206,54.96470546722412,30.354525327682495,151.77262663841248,29.24803602695465,175.4882161617279,25.576904399054392,179.03833079338074,27.156467390060424,407.3470108509064,0.43124714,0.107811786,2,4,4
"61",232.2642,759.84753,0.085020304,234.17973,778.2112,0.117934726,238.36696,766.50507,0.07701214,234.07973,786.30676,0.09895704,0.009125023,0.24037562,0,1.0195184,1.269019,0.31725475,0,1.0195184,20.891711100935936,41.78342220187187,18.768875020742417,93.84437510371208,25.34831356505553,152.08988139033318,25.115067273378372,175.8054709136486,26.843391925096512,402.6508788764477,0.37892422,0.094731055,3,4,4
"62",232.2642,772.2405,0.08053535,220.34993,778.2813,0.11717687,238.36696,771.7526,0.06909264,220.73207,786.30676,0.08930939,101.52326,113.295494,42.98811,109.344284,367.15112,91.78778,42.98811,113.295494,46.052517756819725,92.10503551363945,30.138762563467026,150.69381281733513,30.938692644238472,185.63215586543083,34.839666021721705,243.87766215205193,30.776168821255364,461.6425323188305,0.35611424,0.08902856,3,4,4
"63",232.2642,772.2405,0.080208994,220.34375,778.2813,0.11731752,238.36205,770.4632,0.068851486,220.68834,786.30676,0.08937916,0,0.05062513,10.563105,0.35825092,10.97198,2.742995,0,10.563105,47.26538789272308,94.53077578544617,29.9625472009182,149.812736004591,25.572801306843758,153.43680784106255,26.91073584130832,188.37515088915825,30.686034470796585,460.2905170619488,0.35575715,0.08893929,3,4,4
"64",217.75537,777.0011,0.12313907,220.34375,778.2813,0.121484086,228.37381,769.12317,0.08564878,220.68834,784.0647,0.09706505,125.09133,0,82.55692,18.367046,226.0153,56.503826,0,125.09133,29.62341058254242,59.24682116508484,38.56360482573509,192.81802412867546,34.3860936909914,206.3165621459484,29.99151914034571,209.94063398241997,28.831296362479527,432.4694454371929,0.427337,0.10683425,2,4,4
"65",217.75537,777.44867,0.11188502,220.33508,778.2813,0.12518415,227.8957,769.1359,0.09135534,220.73207,783.37756,0.10387557,3.6665094,0.07100018,3.9180288,5.6404033,13.295942,3.3239856,0.07100018,5.6404033,29.91390585899353,59.82781171798706,30.935168451070787,154.67584225535393,32.690334950884186,196.1420097053051,29.948649674654007,209.64054772257805,27.142084167400995,407.13126251101494,0.4323001,0.10807502,1,4,4
"66",217.19124,777.44867,0.09498934,220.33508,778.2813,0.12707575,227.8957,769.1359,0.093601026,221.12651,782.5642,0.09715642,4.621387,0,0,7.405189,12.026576,3.006644,0,7.405189,3.165314793586731,6.330629587173462,31.47304630279541,157.36523151397705,26.280414377649624,157.68248626589775,28.449807673692703,199.14865371584892,23.308739564816157,349.63109347224236,0.41282254,0.103205636,3,4,4
"67",217.19124,777.44867,0.08184738,220.70747,769.9428,0.10795242,228.37381,769.1359,0.08492376,221.25237,780.5565,0.09222582,0,68.37726,3.916635,16.479326,88.77322,22.193304,0,68.37726,12.599974036216736,25.19994807243347,17.55415096282959,87.77075481414795,29.926422595977783,179.5585355758667,25.6965414753982,179.8757903277874,24.05838117400805,360.8757176101208,0.36694938,0.091737345,3,4,4
"68",217.10854,760.8895,0.08194118,221.90727,769.26215,0.11695773,229.14647,769.12317,0.07746519,225.2119,763.93774,0.11274467,135.65454,11.3003,6.3305035,139.95212,293.23746,73.309364,6.3305035,139.95212,47.75133419036865,95.5026683807373,31.667424821853636,158.3371241092682,26.846686522165935,161.0801191329956,36.123985699244905,252.86789989471436,28.814899029334388,432.2234854400158,0.38910875,0.09727719,2,4,4
"69",217.10854,759.8556,0.0826759,222.45006,759.8879,0.12531891,229.14647,755.09344,0.09573279,225.2119,763.66943,0.11443459,8.470021,76.92282,114.93179,2.1980057,202.52264,50.63066,2.1980057,114.93179,61.97001266479492,123.94002532958984,30.49279179573059,152.46395897865295,34.827964186668396,208.96778512001038,30.244397163391113,211.7107801437378,31.953602121273676,479.30403181910515,0.41816223,0.10454056,2,4,4
"70",217.10854,758.5131,0.087164864,223.01888,750.59015,0.1364597,229.14647,741.9928,0.08716592,225.2119,762.5825,0.12549615,10.997528,76.3096,107.32078,8.904023,203.53192,50.88298,8.904023,107.32078,50.75682067871094,101.51364135742188,40.0045907497406,200.022953748703,33.89115655422211,203.34693932533264,37.121537923812866,259.85076546669006,33.76476150949796,506.4714226424694,0.43628663,0.10907166,2,4,4
"71",230.0658,757.6605,0.07522239,233.38618,750.59015,0.11282648,223.25256,733.7245,0.08570588,226.02806,754.8223,0.10796618,106.375694,84.929214,83.181526,63.922287,338.4087,84.60217,63.922287,106.375694,67.7425765991211,135.4851531982422,56.323696517944335,281.6184825897217,47.43752110004425,284.6251266002655,41.13558745384216,287.94911217689514,35.52187261382739,532.8280892074108,0.38172093,0.09543023,2,4,4
"72",230.0658,745.7512,0.0703532,233.38618,742.90216,0.0935157,223.25256,733.7245,0.052608486,227.07423,754.4515,0.068093926,97.56125,62.98016,0,9.092802,169.63422,42.408554,0,97.56125,63.50536346435547,127.01072692871094,60.366746520996095,301.83373260498047,54.00450611114502,324.0270366668701,46.719097239630564,327.03368067741394,36.0198866824309,540.2983002364635,0.28457132,0.07114283,4,4,4
"73",230.0658,745.7512,0.06252943,233.92305,742.81165,0.08755047,223.25256,733.7245,0.052802607,227.07423,747.743,0.0721148,0,4.4600816,0,54.956142,59.416225,14.854056,0,54.956142,28.63130521774292,57.26261043548584,48.67568492889404,243.37842464447021,52.78129816055298,316.68778896331787,48.41158471788679,338.8810930252075,36.76855231722196,551.5282847583294,0.27499732,0.06874933,4,4,4
"74",230.0658,745.5244,0.0660894,233.92305,742.81165,0.09164857,220.7064,733.87604,0.05224776,227.7624,747.743,0.078862205,1.8580048,0,20.895092,5.6375146,28.390612,7.097653,0,20.895092,10.975854635238647,21.951709270477295,39.969083309173584,199.84541654586792,41.746012926101685,250.4760775566101,46.2550631250654,323.78544187545776,36.34182664354642,545.1273996531963,0.28884792,0.07221198,4,4,4
"75",230.0658,745.0507,0.069057964,233.38618,742.4171,0.09618567,243.84637,741.4731,0.05926085,227.99968,747.4987,0.08806488,3.8805099,5.4578733,199.51788,2.7896605,211.64592,52.91148,2.7896605,199.51788,30.004566431045532,60.009132862091064,40.374783229827884,201.8739161491394,42.12614941596985,252.7568964958191,43.341079643794465,303.3875575065613,37.104847476879755,556.5727121531963,0.31256935,0.07814234,4,4,4
"76",231.99419,745.0507,0.06741254,235.2963,742.4171,0.096295245,244.55347,741.6867,0.058221225,227.99968,747.4987,0.08325052,15.797416,15.647665,6.0510945,0,37.496174,9.374043,0,15.797416,31.142761707305908,62.285523414611816,25.32915735244751,126.64578676223755,35.207993268966675,211.24795961380005,37.447277137211394,262.13093996047974,37.70863339106242,565.6295008659363,0.30517954,0.076294884,4,4,4
"77",232.29436,743.05664,0.06565981,234.95364,734.90753,0.08944218,245.51132,741.4731,0.052826095,229.12157,747.4987,0.08204925,16.519583,61.58266,8.039547,9.190523,95.332306,23.833076,8.039547,61.58266,16.603559970855713,33.207119941711426,21.61406183242798,108.07030916213989,25.07981053988139,150.47886323928833,33.583005155835835,235.08103609085083,33.178319772084556,497.6747965812683,0.2899773,0.07249433,4,4,4
"78",232.42026,742.69415,0.07966442,234.95364,734.8349,0.08634751,252.7151,735.40607,0.07127292,235.35234,747.4987,0.083374426,3.1435196,0.5950015,77.15438,51.04263,131.93553,32.983883,0.5950015,77.15438,28.408479690551758,56.816959381103516,25.240027141571044,126.20013570785522,23.509032011032104,141.05419206619263,26.20896373476301,183.46274614334106,35.19437896410624,527.9156844615936,0.32065928,0.08016482,4,4,4
"79",247.93973,742.2144,0.061445348,236.91699,733.7174,0.08770065,252.7151,735.40607,0.049218632,235.35234,747.4987,0.062389247,127.196556,18.506582,0,0,145.70314,36.425785,0,127.196556,34.704833984375,69.40966796875,31.10565357208252,155.5282678604126,27.104320128758747,162.6259207725525,25.354282447269984,177.4799771308899,33.8558428923289,507.8376433849335,0.26075387,0.06518847,4,4,4
"80",247.93973,727.62695,0.08751722,250.44255,730.0875,0.097182415,254.48872,734.2176,0.061142482,250.11613,739.49005,0.07162584,119.50081,114.72246,17.48993,137.59386,389.30707,97.32677,17.48993,137.59386,66.87627601623535,133.7525520324707,39.988710975646974,199.94355487823486,42.14250580469767,252.85503482818604,37.13609824861799,259.9526877403259,40.12269498507182,601.8404247760773,0.31746793,0.07936698,4,4,4
"81",246.74391,726.95135,0.06879004,238.38805,730.0875,0.11188265,254.48872,734.0744,0.06392386,241.37874,739.45624,0.101855844,11.251462,98.750755,1.173003,71.57747,182.75269,45.68817,1.173003,98.750755,71.5074691772461,143.0149383544922,47.2515365600586,236.25768280029297,40.938621044158936,245.6317262649536,42.649029459272114,298.5432062149048,42.96813014348348,644.5219521522522,0.3464524,0.0866131,2,4,4
"82",247.93973,726.8805,0.07680523,250.64346,730.0875,0.08630852,258.6342,733.7621,0.053139526,250.11613,738.3777,0.07588168,9.813334,100.39663,34.055954,72.12021,216.38612,54.09653,9.813334,100.39663,49.892351150512695,99.78470230102539,53.30422744750977,266.5211372375488,48.392368952433266,290.3542137145996,42.818322454180034,299.72825717926025,45.095011933644614,676.4251790046692,0.29213494,0.073033735,4,4,4
"83",248.10016,726.8805,0.071219444,250.64346,730.8024,0.07410798,260.96533,733.73047,0.05691412,250.50916,736.7581,0.06283489,1.3142533,5.856515,19.098555,13.6526,39.921925,9.980481,1.3142533,19.098555,32.03850603103638,64.07701206207275,48.70354709625244,243.5177354812622,46.083603064219155,276.50161838531494,42.90495640890939,300.3346948623657,40.87308638890584,613.0962958335876,0.26507643,0.06626911,4,4,4
"84",265.8758,724.12024,0.056259748,252.13522,730.8024,0.0723808,260.96533,726.80835,0.04941774,257.7025,735.78894,0.05679705,147.36356,12.220531,56.706146,59.4606,275.75085,68.93771,12.220531,147.36356,39.459097385406494,78.91819477081299,55.205932807922366,276.0296640396118,52.075908184051514,312.4554491043091,49.34847600119455,345.4393320083618,42.09355656305949,631.4033484458923,0.23485535,0.05871384,4,4,4
"85",265.9978,724.12024,0.07800379,265.4814,730.8024,0.07959893,267.47287,726.80835,0.05553727,258.81696,732.8639,0.06697603,0.99950254,109.33228,53.309887,25.642323,189.284,47.321,0.99950254,109.33228,58.129356384277344,116.25871276855469,45.20477924346924,226.0238962173462,53.891777197519936,323.35066318511963,51.39663546425955,359.7764482498169,41.85609114964803,627.8413672447205,0.28011602,0.070029005,4,4,4
"86",266.06055,724.12024,0.0704728,265.93243,720.7763,0.11236545,268.83676,726.3034,0.07335268,260.10986,732.54193,0.08641348,0.5140013,82.21726,11.914164,10.914985,105.56041,26.390102,0.5140013,82.21726,36.85555076599121,73.71110153198242,41.34516544342041,206.72582721710205,42.06899976730347,252.4139986038208,49.96296651022775,349.74076557159424,37.97528645197551,569.6292967796326,0.3426044,0.0856511,3,4,4
"87",265.9978,724.12024,0.083782785,265.93243,719.845,0.11213508,260.96533,725.516,0.07974914,260.10986,731.459,0.09110776,0.5140013,7.6295195,64.80475,8.871523,81.81979,20.454948,0.5140013,64.80475,23.42252540588379,46.84505081176758,34.616848945617676,173.08424472808838,37.863462607065834,227.18077564239502,38.981278147016255,272.86894702911377,36.51171274185181,547.6756911277771,0.36677477,0.09169369,3,4,4
"88",266.06055,723.5021,0.056002166,265.93243,719.7014,0.07934583,273.72095,724.6571,0.05714572,260.10986,730.65576,0.06076896,5.090032,1.176003,104.73088,6.580017,117.576935,29.394234,1.176003,104.73088,24.924591064453125,49.84918212890625,38.49959945678711,192.49799728393555,33.74641307195028,202.47847843170166,36.653572763715474,256.5750093460083,37.48105789820353,562.215868473053,0.25326267,0.06331567,4,4,4
"89",266.0894,713.98956,0.049420103,266.3173,717.57007,0.08122864,275.46756,708.943,0.053722013,262.65915,729.7676,0.06974443,77.927055,17.742409,129.52307,22.11501,247.30754,61.826885,17.742409,129.52307,45.61055946350098,91.22111892700195,37.07743377685547,185.38716888427734,42.38748041788737,254.32488250732422,37.75790909358433,264.30536365509033,41.129673385620116,616.9451007843018,0.2541152,0.0635288,4,4,4
"90",285.38107,707.5403,0.07093485,267.3295,717.57007,0.090410486,285.1242,708.9359,0.080380075,273.2216,716.1717,0.0727465,166.63513,8.292021,79.107475,141.0392,395.07385,98.76846,8.292021,166.63513,80.29767417907715,160.5953483581543,47.36692657470703,236.83463287353516,47.35927200317383,284.15563201904297,50.44190652029855,353.09334564208984,44.18680559794108,662.8020839691162,0.3144719,0.078617975,4,4,4
